=== csmith shard 1/34 start 22:06:10
check_driver_fresh: oracle OK (bin 7336b2e35e761cd553dcd196e944da00bcd981a0a2c512d10926c3bb91723478, src 98ad48b592a222a21e4619c5ce03652fc6a44c0a67c6b02cb222e1d40b1c701d)
1/50 semantic_agreement: csmith/sa_csmith_001.c (pristine 0.1s, fork 0.1s)
2/50 difference: csmith/sa_csmith_002.c (pristine 0.0s, fork 0.0s)
3/50 difference: csmith/sa_csmith_003.c (pristine 0.0s, fork 0.0s)
4/50 semantic_agreement: csmith/sa_csmith_004.c (pristine 0.1s, fork 0.1s)
5/50 difference: csmith/sa_csmith_005.c (pristine 0.0s, fork 0.0s)
6/50 semantic_agreement: csmith/sa_csmith_006.c (pristine 0.1s, fork 0.1s)
7/50 incomplete: csmith/sa_csmith_10.c (pristine 15.1s, fork 15.1s)
8/50 semantic_agreement: csmith/sa_csmith_100.c (pristine 0.0s, fork 0.0s)
9/50 semantic_agreement: csmith/sa_csmith_101.c (pristine 0.0s, fork 0.0s)
10/50 semantic_agreement: csmith/sa_csmith_102.c (pristine 0.0s, fork 0.0s)
11/50 semantic_agreement: csmith/sa_csmith_103.c (pristine 0.0s, fork 0.0s)
12/50 semantic_agreement: csmith/sa_csmith_104.c (pristine 0.0s, fork 0.0s)
13/50 incomplete: csmith/sa_csmith_105.c (pristine 15.1s, fork 15.1s)
14/50 incomplete: csmith/sa_csmith_106.c (pristine 15.0s, fork 15.0s)
15/50 incomplete: csmith/sa_csmith_107.c (pristine 15.0s, fork 15.1s)
16/50 semantic_agreement: csmith/sa_csmith_108.c (pristine 0.7s, fork 0.7s)
17/50 incomplete: csmith/sa_csmith_109.c (pristine 15.1s, fork 15.1s)
18/50 incomplete: csmith/sa_csmith_11.c (pristine 15.1s, fork 15.1s)
19/50 incomplete: csmith/sa_csmith_110.c (pristine 15.1s, fork 15.1s)
20/50 incomplete: csmith/sa_csmith_111.c (pristine 15.1s, fork 15.1s)
21/50 incomplete: csmith/sa_csmith_112.c (pristine 15.1s, fork 15.1s)
22/50 incomplete: csmith/sa_csmith_113.c (pristine 15.0s, fork 15.0s)
23/50 incomplete: csmith/sa_csmith_114.c (pristine 15.0s, fork 15.0s)
24/50 incomplete: csmith/sa_csmith_115.c (pristine 15.0s, fork 15.1s)
25/50 incomplete: csmith/sa_csmith_116.c (pristine 15.0s, fork 15.0s)
26/50 semantic_agreement: csmith/sa_csmith_117.c (pristine 0.1s, fork 0.1s)
27/50 semantic_agreement: csmith/sa_csmith_118.c (pristine 0.1s, fork 0.1s)
28/50 semantic_agreement: csmith/sa_csmith_119.c (pristine 0.1s, fork 0.1s)
29/50 incomplete: csmith/sa_csmith_12.c (pristine 15.1s, fork 15.1s)
30/50 semantic_agreement: csmith/sa_csmith_120.c (pristine 0.1s, fork 0.1s)
31/50 semantic_agreement: csmith/sa_csmith_121.c (pristine 0.1s, fork 0.1s)
32/50 semantic_agreement: csmith/sa_csmith_122.c (pristine 0.1s, fork 0.1s)
33/50 semantic_agreement: csmith/sa_csmith_123.c (pristine 0.1s, fork 0.1s)
34/50 incomplete: csmith/sa_csmith_124.c (pristine 15.0s, fork 15.1s)
35/50 incomplete: csmith/sa_csmith_125.c (pristine 15.1s, fork 15.1s)
36/50 semantic_agreement: csmith/sa_csmith_126.c (pristine 0.1s, fork 0.1s)
37/50 incomplete: csmith/sa_csmith_127.c (pristine 15.0s, fork 15.0s)
38/50 incomplete: csmith/sa_csmith_128.c (pristine 15.1s, fork 15.1s)
39/50 incomplete: csmith/sa_csmith_129.c (pristine 15.1s, fork 15.1s)
40/50 semantic_agreement: csmith/sa_csmith_13.c (pristine 0.1s, fork 0.1s)
41/50 semantic_agreement: csmith/sa_csmith_130.c (pristine 0.0s, fork 0.0s)
42/50 incomplete: csmith/sa_csmith_131.c (pristine 15.1s, fork 15.0s)
43/50 semantic_agreement: csmith/sa_csmith_132.c (pristine 0.0s, fork 0.0s)
44/50 semantic_agreement: csmith/sa_csmith_133.c (pristine 1.2s, fork 1.1s)
45/50 semantic_agreement: csmith/sa_csmith_134.c (pristine 0.0s, fork 0.0s)
46/50 semantic_agreement: csmith/sa_csmith_135.c (pristine 0.1s, fork 0.1s)
47/50 incomplete: csmith/sa_csmith_136.c (pristine 15.0s, fork 15.1s)
48/50 semantic_agreement: csmith/sa_csmith_137.c (pristine 0.1s, fork 0.1s)
49/50 semantic_agreement: csmith/sa_csmith_138.c (pristine 0.1s, fork 0.1s)
50/50 semantic_agreement: csmith/sa_csmith_139.c (pristine 0.0s, fork 0.0s)
Independent oracle scope: csmith shard 1/34; 50 rows in 641.0s; source unchanged: True
Independent oracle: failed; {'semantic_agreement': 26, 'difference': 3, 'incomplete': 21}; /home/dev/projects/cerberus-lean-proj/worktrees/cerberus-lean-arc/pristine-oracle-instrument/.tmp/o1-measure/csmith-shard/report.json
